STOCK_REGION,STATION_ID,CLAT,CLON
Snow,A-04,55,-165.75
Snow,A-05,55,-165.15
Snow,Z-04,54.66,-165.72
Snow,Z-05,54.66,-165.15
StMattBKC,N-24,59.33,-172.5
StMattBKC,N-25,59.33,-173.15
StMattBKC,N-26,59.33,-173.8
StMattBKC,O-23,59.66,-171.9
StMattBKC,O-24,59.66,-172.56
StMattBKC,O-25,59.66,-173.23
StMattBKC,O-26,59.66,-173.86
StMattBKC,O-27,59.66,-174.45
StMattBKC,ON2524,59.5,-172.88333
StMattBKC,ON2625,59.5,-173.5
StMattBKC,P-23,60,-171.96
StMattBKC,P-24,60,-172.63
StMattBKC,P-25,60,-173.3
StMattBKC,P-26,60,-173.95
StMattBKC,P-27,60,-174.6
StMattBKC,PO2423,59.83333,-172.25
StMattBKC,PO2524,59.83333,-172.91667
StMattBKC,PO2625,59.83333,-173.58333
StMattBKC,PO2726,59.83333,-174.23333
StMattBKC,Q-23,60.33,-172.06
StMattBKC,Q-24,60.33,-172.71
StMattBKC,Q-25,60.33,-173.4
StMattBKC,Q-26,60.33,-174.06
StMattBKC,Q-27,60.33,-174.71
StMattBKC,QP2423,60.16667,-172.33333
StMattBKC,QP2524,60.16667,-173.01667
StMattBKC,QP2625,60.16667,-173.68333
StMattBKC,QP2726,60.16667,-174.35
StMattBKC,M-24,59,-172.43
StMattBKC,M-25,59,-173.08
StMattBKC,M-26,59,-173.71
StMattBKC,M-27,59,-174.36
StMattBKC,M-28,59,-175
StMattBKC,N-22,59.33,-171.18
StMattBKC,N-23,59.33,-171.83
StMattBKC,N-27,59.33,-174.45
StMattBKC,N-28,59.33,-175.1
StMattBKC,O-22,59.66,-171.25
StMattBKC,O-28,59.66,-175.1
StMattBKC,P-22,60,-171.3
StMattBKC,P-28,60,-175.26
StMattBKC,Q-22,60.33,-171.36
StMattBKC,Q-28,60.33,-175.38
StMattBKC,R-22,60.66,-171.45
StMattBKC,R-23,60.66,-172.11
StMattBKC,R-24,60.66,-172.78
StMattBKC,R-25,60.66,-173.46
StMattBKC,R-26,60.66,-174.13
StMattBKC,R-27,60.66,-174.83
StMattBKC,R-28,60.66,-175.45
StMattBKC,S-22,61,-171.52
StMattBKC,S-23,61,-172.16
StMattBKC,S-24,61,-172.89
StMattBKC,S-25,61,-173.5
StMattBKC,S-26,61,-174.26
StMattBKC,S-27,61,-174.88
StMattBKC,S-28,61,-175.63
TannerE,A-04,55,-165.75
TannerE,A-05,55,-165.15
TannerE,A-06,55,-164.58
TannerE,B-04,55.33,-165.78
TannerE,B-05,55.33,-165.16
TannerE,B-06,55.33,-164.58
TannerE,B-07,55.33,-164
TannerE,B-08,55.33,-163.41
TannerE,C-04,55.66,-165.8
TannerE,C-05,55.66,-165.16
TannerE,C-06,55.66,-164.58
TannerE,C-07,55.66,-164
TannerE,C-08,55.66,-163.4
TannerE,C-09,55.66,-162.83
TannerE,D-04,56,-165.78
TannerE,D-05,56,-165.18
TannerE,D-06,56,-164.58
TannerE,D-07,56,-164
TannerE,D-08,56,-163.4
TannerE,D-09,56,-162.81
TannerE,D-10,56,-162.23
TannerE,E-04,56.33,-165.8
TannerE,E-05,56.33,-165.2
TannerE,E-06,56.33,-164.58
TannerE,E-07,56.33,-164
TannerE,E-08,56.33,-163.4
TannerE,E-09,56.33,-162.8
TannerE,E-10,56.33,-162.2
TannerE,E-11,56.33,-161.61
TannerE,E-12,56.33,-161
TannerE,F-04,56.66,-165.83
TannerE,F-05,56.66,-165.21
TannerE,F-06,56.66,-164.6
TannerE,F-07,56.66,-164
TannerE,F-08,56.66,-163.38
TannerE,F-09,56.66,-162.78
TannerE,F-10,56.66,-162.18
TannerE,F-11,56.66,-161.58
TannerE,F-12,56.66,-160.98
TannerE,F-13,56.66,-160.36
TannerE,F-14,56.66,-159.75
TannerE,G-04,57,-165.85
TannerE,G-05,57,-165.21
TannerE,G-06,57,-164.6
TannerE,G-07,57,-164
TannerE,G-08,57,-163.38
TannerE,G-09,57,-162.78
TannerE,G-10,57,-162.16
TannerE,G-11,57,-161.56
TannerE,G-12,57,-160.95
TannerE,G-13,57,-160.33
TannerE,G-14,57,-159.71
TannerE,G-15,57,-159.11
TannerE,H-04,57.33,-165.86
TannerE,H-05,57.33,-165.23
TannerE,H-06,57.33,-164.61
